BST Experiments - Comparing Four Shuffling Methods
===================================================
1. No Shuffle (Sequential) - Worst Case O(n) height
2. Fisher-Yates (Classic) - Random Case O(log n) height
3. RANDOMIZE-IN-PLACE (CLRS) - Random Case O(log n) height
4. PERMUTE-BY-SORTING (CLRS) - Random Case O(log n) height

Size range: 10 to 50000
Number of size points: up to 60
Size progression: n = 10 * 1.2^i

Estimated runtime: 2-10 minutes depending on CPU
Progress will be shown below...

[1/4] Running NoShuffle experiments...

=== NoShuffle: Height Experiment ===
n,avg_height
10836,0.012850,0.00000119
12462,0.016000,0.00000128
14331,0.017300,0.00000121
16481,0.018400,0.00000112
18953,0.024400,0.00000129
21796,0.025500,0.00000117
25065,0.032000,0.00000128
28825,0.039900,0.00000138
33149,0.041600,0.00000125
38121,0.045500,0.00000119

[2/4] Running FisherYates experiments...

=== FisherYates: Height Experiment ===
n,avg_height
10,5.67
11,5.86
13,6.41
15,6.85
17,7.05
20,7.73
23,8.13
26,8.63
30,8.80
35,9.58
40,10.05
46,10.51
53,10.96
61,11.45
70,12.07
81,12.45
93,13.35
107,13.83
123,14.07
142,14.30
163,14.80
188,15.37
216,16.23
248,16.93
286,17.00
329,17.53
378,18.27
435,19.33
500,19.20
575,19.93
662,20.70
761,21.57
875,21.80
1006,22.40
1158,22.10
1331,23.20
1531,23.40
1761,24.50
2025,24.80
2329,25.15
2678,26.40
3080,26.95
3542,26.70
4073,27.00
4684,27.65
5387,28.30
6195,29.25
7125,29.90
8194,30.30
9423,31.40
10836,31.90
12462,32.70
14331,31.80
16481,33.70
18953,34.60
21796,34.35
25065,34.75
28825,35.45
33149,36.50
38121,36.25

=== FisherYates: Build Time Experiment ===
n,avg_time_ms
10,0.0007
11,0.0005
13,0.0004
15,0.0006
17,0.0005
20,0.0002
23,0.0006
26,0.0007
30,0.0009
35,0.0009
40,0.0016
46,0.0014
53,0.0016
61,0.0020
70,0.0023
81,0.0027
93,0.0031
107,0.0047
123,0.0049
142,0.0051
163,0.0057
188,0.0069
216,0.0084
248,0.0092
286,0.0113
329,0.0126
378,0.0150
435,0.0171
500,0.0196
575,0.0246
662,0.0270
761,0.0325
875,0.0377
1006,0.0441
1158,0.0513
1331,0.0603
1531,0.0682
1761,0.0794
2025,0.0943
2329,0.1111
2678,0.1348
3080,0.1517
3542,0.1753
4073,0.2039
4684,0.2405
5387,0.2934
6195,0.3442
7125,0.4101
8194,0.4812
9423,0.5680
10836,0.6834
12462,0.8011
14331,0.9565
16481,1.1428
18953,1.3489
21796,1.6566
25065,1.9370
28825,2.2334
33149,2.7468
38121,3.3600

=== FisherYates: Destroy Time Experiment ===
n,avg_time_ms
10,0.0003
11,0.0004
13,0.0004
15,0.0004
17,0.0005
20,0.0006
23,0.0006
26,0.0004
30,0.0007
35,0.0006
40,0.0011
46,0.0009
53,0.0012
61,0.0012
70,0.0014
81,0.0015
93,0.0019
107,0.0019
123,0.0021
142,0.0025
163,0.0028
188,0.0032
216,0.0038
248,0.0043
286,0.0047
329,0.0055
378,0.0063
435,0.0075
500,0.0092
575,0.0095
662,0.0109
761,0.0139
875,0.0146
1006,0.0169
1158,0.0189
1331,0.0213
1531,0.0256
1761,0.0300
2025,0.0382
2329,0.0513
2678,0.0503
3080,0.0526
3542,0.0645
4073,0.0723
4684,0.0864
5387,0.1080
6195,0.1220
7125,0.1454
8194,0.1629
9423,0.1949
10836,0.2285
12462,0.2697
14331,0.3060
16481,0.3823
18953,0.4105
21796,0.4902
25065,0.5623
28825,0.6427
33149,0.7482
38121,0.9502

=== FisherYates: Inorder Walk Experiment ===
n,total_time_ms,time_per_node_ms
10,0.000011,0.00000110
11,0.000012,0.00000109
13,0.000012,0.00000092
15,0.000018,0.00000120
17,0.000024,0.00000141
20,0.000021,0.00000105
23,0.000031,0.00000135
26,0.000032,0.00000123
30,0.000036,0.00000120
35,0.000042,0.00000120
40,0.000057,0.00000142
46,0.000065,0.00000141
53,0.000070,0.00000132
61,0.000080,0.00000131
70,0.000105,0.00000150
81,0.000121,0.00000149
93,0.000123,0.00000132
107,0.000148,0.00000138
123,0.000173,0.00000141
142,0.000219,0.00000154
163,0.000231,0.00000142
188,0.000268,0.00000143
216,0.000319,0.00000148
248,0.000373,0.00000150
286,0.000410,0.00000143
329,0.000397,0.00000121
378,0.000517,0.00000137
435,0.000614,0.00000141
500,0.000721,0.00000144
575,0.000821,0.00000143
662,0.000987,0.00000149
761,0.001134,0.00000149
875,0.001284,0.00000147
1006,0.002040,0.00000203
1158,0.002130,0.00000184
1331,0.002610,0.00000196
1531,0.002870,0.00000187
1761,0.003910,0.00000222
2025,0.004290,0.00000212
2329,0.004160,0.00000179
2678,0.005330,0.00000199
3080,0.006210,0.00000202
3542,0.007530,0.00000213
4073,0.008450,0.00000207
4684,0.011120,0.00000237
5387,0.012580,0.00000234
6195,0.014950,0.00000241
7125,0.018090,0.00000254
8194,0.023640,0.00000289
9423,0.028230,0.00000300
10836,0.032960,0.00000304
12462,0.035580,0.00000286
14331,0.047800,0.00000334
16481,0.054370,0.00000330
18953,0.066760,0.00000352
21796,0.075770,0.00000348
25065,0.097590,0.00000389
28825,0.131630,0.00000457
33149,0.142500,0.00000430
38121,0.156780,0.00000411

[3/4] Running RandomizeInPlace experiments...

=== RandomizeInPlace: Height Experiment ===
n,avg_height
10,5.61
11,5.86
13,6.60
15,6.74
17,7.26
20,7.80
23,8.05
26,8.40
30,9.34
35,9.36
40,10.01
46,10.48
53,11.10
61,11.47
70,12.11
81,12.63
93,13.24
107,12.93
123,14.23
142,14.80
163,15.33
188,16.20
216,15.97
248,16.33
286,17.97
329,17.73
378,18.83
435,19.30
500,19.33
575,19.63
662,20.43
761,21.10
875,22.13
1006,21.70
1158,22.85
1331,23.55
1531,23.70
1761,24.60
2025,24.65
2329,24.85
2678,26.55
3080,25.65
3542,27.70
4073,27.75
4684,27.90
5387,29.00
6195,29.40
7125,29.50
8194,30.10
9423,30.55
10836,31.20
12462,31.60
14331,33.10
16481,33.25
18953,33.80
21796,34.30
25065,34.50
28825,35.60
33149,36.30
38121,36.85

=== RandomizeInPlace: Build Time Experiment ===
n,avg_time_ms
10,0.0004
11,0.0004
13,0.0005
15,0.0005
17,0.0005
20,0.0003
23,0.0007
26,0.0008
30,0.0010
35,0.0012
40,0.0012
46,0.0014
53,0.0016
61,0.0020
70,0.0022
81,0.0027
93,0.0030
107,0.0037
123,0.0049
142,0.0061
163,0.0071
188,0.0080
216,0.0083
248,0.0095
286,0.0118
329,0.0132
378,0.0156
435,0.0182
500,0.0209
575,0.0262
662,0.0296
761,0.0337
875,0.0419
1006,0.0464
1158,0.0547
1331,0.0627
1531,0.0730
1761,0.0855
2025,0.0964
2329,0.1186
2678,0.1317
3080,0.1608
3542,0.1875
4073,0.2142
4684,0.2516
5387,0.3086
6195,0.3558
7125,0.4356
8194,0.4985
9423,0.5857
10836,0.7305
12462,0.8814
14331,1.0203
16481,1.2007
18953,1.4277
21796,1.7084
25065,2.0006
28825,2.3691
33149,2.8950
38121,3.2737

=== RandomizeInPlace: Destroy Time Experiment ===
n,avg_time_ms
10,0.0005
11,0.0005
13,0.0004
15,0.0005
17,0.0005
20,0.0007
23,0.0004
26,0.0007
30,0.0006
35,0.0008
40,0.0008
46,0.0010
53,0.0009
61,0.0012
70,0.0015
81,0.0015
93,0.0019
107,0.0021
123,0.0024
142,0.0026
163,0.0030
188,0.0038
216,0.0042
248,0.0042
286,0.0051
329,0.0057
378,0.0062
435,0.0070
500,0.0089
575,0.0101
662,0.0111
761,0.0133
875,0.0150
1006,0.0174
1158,0.0224
1331,0.0235
1531,0.0275
1761,0.0317
2025,0.0373
2329,0.0398
2678,0.0462
3080,0.0563
3542,0.0641
4073,0.0804
4684,0.0880
5387,0.1074
6195,0.1268
7125,0.1487
8194,0.1797
9423,0.2032
10836,0.2436
12462,0.2635
14331,0.3188
16481,0.3829
18953,0.4314
21796,0.4812
25065,0.5461
28825,0.6404
33149,0.7546
38121,0.9586

=== RandomizeInPlace: Inorder Walk Experiment ===
n,total_time_ms,time_per_node_ms
10,0.000013,0.00000130
11,0.000012,0.00000109
13,0.000016,0.00000123
15,0.000016,0.00000107
17,0.000019,0.00000112
20,0.000026,0.00000130
23,0.000029,0.00000126
26,0.000031,0.00000119
30,0.000038,0.00000127
35,0.000044,0.00000126
40,0.000052,0.00000130
46,0.000060,0.00000130
53,0.000074,0.00000140
61,0.000109,0.00000179
70,0.000089,0.00000127
81,0.000088,0.00000109
93,0.000099,0.00000106
107,0.000122,0.00000114
123,0.000142,0.00000115
142,0.000177,0.00000125
163,0.000224,0.00000137
188,0.000251,0.00000134
216,0.000299,0.00000138
248,0.000347,0.00000140
286,0.000414,0.00000145
329,0.000483,0.00000147
378,0.000574,0.00000152
435,0.000651,0.00000150
500,0.000795,0.00000159
575,0.000925,0.00000161
662,0.000909,0.00000137
761,0.001088,0.00000143
875,0.001366,0.00000156
1006,0.002010,0.00000200
1158,0.002200,0.00000190
1331,0.002550,0.00000192
1531,0.003320,0.00000217
1761,0.003430,0.00000195
2025,0.003960,0.00000196
2329,0.005210,0.00000224
2678,0.004770,0.00000178
3080,0.006200,0.00000201
3542,0.007270,0.00000205
4073,0.008290,0.00000204
4684,0.010280,0.00000219
5387,0.012820,0.00000238
6195,0.015190,0.00000245
7125,0.018540,0.00000260
8194,0.023220,0.00000283
9423,0.027840,0.00000295
10836,0.033360,0.00000308
12462,0.035520,0.00000285
14331,0.045220,0.00000316
16481,0.055750,0.00000338
18953,0.067470,0.00000356
21796,0.087150,0.00000400
25065,0.088280,0.00000352
28825,0.111210,0.00000386
33149,0.156010,0.00000471
38121,0.184660,0.00000484

[4/4] Running PermuteBySorting experiments...

=== PermuteBySorting: Height Experiment ===
n,avg_height
10,5.59
11,5.98
13,6.45
15,6.95
17,7.13
20,7.67
23,8.16
26,8.47
30,8.98
35,9.52
40,9.96
46,10.48
53,10.99
61,11.18
70,11.87
81,12.52
93,13.25
107,13.57
123,14.30
142,14.30
163,14.87
188,15.80
216,15.77
248,16.60
286,17.77
329,17.90
378,18.47
435,19.13
500,19.53
575,19.60
662,20.53
761,20.57
875,21.53
1006,22.15
1158,22.70
1331,23.20
1531,24.45
1761,23.70
2025,24.30
2329,25.40
2678,26.55
3080,26.15
3542,26.05
4073,28.20
4684,28.80
5387,28.85
6195,29.10
7125,29.90
8194,30.60
9423,32.35
10836,31.05
12462,32.35
14331,32.60
16481,33.00
18953,33.70
21796,33.65
25065,35.35
28825,35.65
33149,35.95
38121,36.30

=== PermuteBySorting: Build Time Experiment ===
n,avg_time_ms
10,0.0005
11,0.0004
13,0.0004
15,0.0005
17,0.0006
20,0.0009
23,0.0008
26,0.0009
30,0.0007
35,0.0010
40,0.0013
46,0.0014
53,0.0017
61,0.0019
70,0.0022
81,0.0027
93,0.0030
107,0.0034
123,0.0042
142,0.0047
163,0.0055
188,0.0068
216,0.0079
248,0.0088
286,0.0105
329,0.0126
378,0.0141
435,0.0166
500,0.0194
575,0.0230
662,0.0283
761,0.0329
875,0.0366
1006,0.0431
1158,0.0521
1331,0.0579
1531,0.0678
1761,0.0835
2025,0.0948
2329,0.1114
2678,0.1367
3080,0.1593
3542,0.1770
4073,0.2085
4684,0.2451
5387,0.2932
6195,0.3388
7125,0.4004
8194,0.4886
9423,0.5697
10836,0.6757
12462,0.8107
14331,0.9652
16481,1.1423
18953,1.3443
21796,1.6028
25065,1.9857
28825,2.3262
33149,2.7321
38121,3.1890

=== PermuteBySorting: Destroy Time Experiment ===
n,avg_time_ms
10,0.0003
11,0.0005
13,0.0004
15,0.0001
17,0.0004
20,0.0004
23,0.0005
26,0.0006
30,0.0008
35,0.0008
40,0.0008
46,0.0010
53,0.0011
61,0.0011
70,0.0013
81,0.0013
93,0.0017
107,0.0020
123,0.0022
142,0.0026
163,0.0027
188,0.0033
216,0.0039
248,0.0047
286,0.0051
329,0.0051
378,0.0064
435,0.0070
500,0.0092
575,0.0099
662,0.0131
761,0.0125
875,0.0143
1006,0.0174
1158,0.0203
1331,0.0254
1531,0.0265
1761,0.0294
2025,0.0343
2329,0.0420
2678,0.0473
3080,0.0582
3542,0.0643
4073,0.0706
4684,0.0891
5387,0.1034
6195,0.1254
7125,0.1483
8194,0.1696
9423,0.1983
10836,0.2517
12462,0.2628
14331,0.3167
16481,0.3632
18953,0.4364
21796,0.4798
25065,0.5656
28825,0.6496
33149,0.7582
38121,0.9185

=== PermuteBySorting: Inorder Walk Experiment ===
n,total_time_ms,time_per_node_ms
10,0.000011,0.00000110
11,0.000013,0.00000118
13,0.000015,0.00000115
15,0.000017,0.00000113
17,0.000023,0.00000135
20,0.000026,0.00000130
23,0.000028,0.00000122
26,0.000033,0.00000127
30,0.000037,0.00000123
35,0.000044,0.00000126
40,0.000050,0.00000125
46,0.000059,0.00000128
53,0.000077,0.00000145
61,0.000081,0.00000133
70,0.000088,0.00000126
81,0.000117,0.00000144
93,0.000130,0.00000140
107,0.000149,0.00000139
123,0.000175,0.00000142
142,0.000199,0.00000140
163,0.000235,0.00000144
188,0.000273,0.00000145
216,0.000320,0.00000148
248,0.000370,0.00000149
286,0.000450,0.00000157
329,0.000525,0.00000160
378,0.000554,0.00000147
435,0.000627,0.00000144
500,0.000745,0.00000149
575,0.000875,0.00000152
662,0.000973,0.00000147
761,0.001151,0.00000151
875,0.001326,0.00000152
1006,0.001930,0.00000192
1158,0.002220,0.00000192
1331,0.002620,0.00000197
1531,0.002970,0.00000194
1761,0.003550,0.00000202
2025,0.003900,0.00000193
2329,0.004600,0.00000198
2678,0.005210,0.00000195
3080,0.006110,0.00000198
3542,0.007600,0.00000215
4073,0.008230,0.00000202
4684,0.010270,0.00000219
5387,0.012450,0.00000231
6195,0.015530,0.00000251
7125,0.017740,0.00000249
8194,0.021370,0.00000261
9423,0.025070,0.00000266
10836,0.032890,0.00000304
12462,0.038130,0.00000306
14331,0.042290,0.00000295
16481,0.054520,0.00000331
18953,0.060830,0.00000321
21796,0.069370,0.00000318
25065,0.087640,0.00000350
28825,0.103780,0.00000360
33149,0.124140,0.00000374
38121,0.156980,0.00000412

[5/5] Running comparison experiments...

=== COMPARISON: All Four Methods ===

=== Height Comparison ===
n,no_shuffle,fisher_yates,randomize_inplace,permute_sort
10,10.00,5.50,5.30,5.30
11,11.00,6.20,5.75,6.00
13,13.00,6.50,6.10,6.55
15,15.00,6.70,6.90,6.70
17,17.00,7.10,6.95,7.00
20,20.00,7.65,7.50,7.85
23,23.00,8.35,7.95,8.05
26,26.00,8.35,8.50,8.60
30,30.00,8.55,9.40,9.15
35,35.00,9.00,9.50,9.60
40,40.00,10.60,10.45,10.10
46,46.00,10.15,10.65,10.15
53,53.00,10.90,10.65,10.90
61,61.00,11.65,11.60,11.35
70,70.00,12.00,12.40,11.90
81,81.00,12.45,12.15,12.95
93,93.00,12.75,13.45,13.00
107,107.00,14.45,13.40,13.45
123,123.00,14.35,14.30,14.15
142,142.00,14.40,15.05,15.15
163,163.00,15.30,15.50,16.30
188,188.00,15.90,15.85,16.75
216,216.00,16.40,16.05,15.85
248,248.00,16.40,16.55,16.30
286,286.00,16.80,17.15,16.90
329,329.00,18.05,17.00,17.20
378,378.00,18.70,18.70,18.65
435,435.00,18.80,18.45,18.15
500,500.00,19.30,19.95,19.40
575,575.00,19.50,19.30,20.55
662,662.00,19.40,21.00,20.50
761,761.00,20.90,20.15,20.20
875,875.00,21.35,20.85,21.50
1006,1006.00,22.80,22.30,22.10
1158,1158.00,22.00,22.15,22.55
1331,1331.00,23.30,23.15,23.25
1531,1531.00,23.30,23.55,24.30
1761,1761.00,24.55,25.05,24.00
2025,2025.00,24.00,24.65,24.55
2329,2329.00,25.20,26.90,25.25
2678,2678.00,25.60,25.65,26.00
3080,3080.00,27.25,26.60,26.90
3542,3542.00,27.50,26.70,26.85
4073,4073.00,27.25,28.35,27.65
4684,4684.00,28.20,28.70,28.30
5387,5387.00,28.05,28.65,28.90
6195,6195.00,29.10,28.65,29.25
7125,7125.00,29.75,29.45,30.25
8194,8194.00,30.75,30.40,30.60
9423,9423.00,30.95,31.20,31.05
10836,10836.00,31.70,32.25,32.00
12462,12462.00,31.90,32.60,32.10
14331,14331.00,32.95,32.30,32.15
16481,16481.00,32.95,32.65,32.95
18953,18953.00,33.55,33.80,33.95
21796,21796.00,33.70,33.95,34.05
25065,25065.00,34.95,34.15,34.50
28825,28825.00,35.00,35.70,35.40
33149,33149.00,36.30,35.95,35.75
38121,38121.00,36.70,36.30,36.35

=== Build Time Comparison ===
n,no_shuffle,fisher_yates,randomize_inplace,permute_sort
10,0.0005,0.0003,0.0004,0.0005
11,0.0005,0.0004,0.0005,0.0005
13,0.0008,0.0003,0.0006,0.0005
15,0.0005,0.0004,0.0005,0.0012
17,0.0006,0.0005,0.0006,0.0005
20,0.0004,0.0003,0.0002,0.0008
23,0.0005,0.0006,0.0008,0.0006
26,0.0010,0.0010,0.0006,0.0010
30,0.0012,0.0008,0.0009,0.0011
35,0.0013,0.0011,0.0010,0.0012
40,0.0022,0.0012,0.0011,0.0011
46,0.0019,0.0013,0.0014,0.0015
53,0.0031,0.0016,0.0015,0.0016
61,0.0041,0.0020,0.0020,0.0018
70,0.0057,0.0027,0.0032,0.0021
81,0.0072,0.0023,0.0022,0.0023
93,0.0105,0.0028,0.0031,0.0035
107,0.0141,0.0032,0.0038,0.0033
123,0.0193,0.0042,0.0049,0.0044
142,0.0259,0.0049,0.0047,0.0052
163,0.0333,0.0059,0.0057,0.0057
188,0.0454,0.0066,0.0068,0.0073
216,0.0600,0.0076,0.0081,0.0079
248,0.0779,0.0089,0.0095,0.0094
286,0.1037,0.0106,0.0109,0.0122
329,0.1403,0.0124,0.0123,0.0127
378,0.1762,0.0147,0.0151,0.0141
435,0.2390,0.0170,0.0167,0.0177
500,0.3037,0.0193,0.0200,0.0197
575,0.3999,0.0230,0.0248,0.0229
662,0.5250,0.0276,0.0263,0.0281
761,0.6872,0.0316,0.0319,0.0321
875,0.9442,0.0371,0.0372,0.0363
1006,1.1680,0.0428,0.0430,0.0430
1158,1.6460,0.0502,0.0498,0.0505
1331,2.1260,0.0612,0.0585,0.0569
1531,2.5760,0.0684,0.0692,0.0684
1761,3.5610,0.0818,0.0787,0.0817
2025,4.7020,0.0923,0.0926,0.0942
2329,6.2830,0.1147,0.1119,0.1100
2678,8.5070,0.1313,0.1251,0.1262
3080,11.5620,0.1458,0.1497,0.1468
3542,15.0090,0.1689,0.1729,0.1745
4073,19.8210,0.2023,0.2063,0.2066
4684,28.3510,0.2368,0.2396,0.2406
5387,39.1410,0.2919,0.2924,0.2972
6195,52.5290,0.3381,0.3485,0.3345
7125,72.9480,0.3990,0.4040,0.4073
8194,94.0670,0.4834,0.4814,0.4756
9423,135.3250,0.5967,0.5849,0.5740
10836,172.2390,0.6774,0.6947,0.6880
12462,244.2080,0.8352,0.8367,0.8197
14331,286.6580,0.9513,0.9490,0.9542
16481,368.6090,1.1709,1.2000,1.1717
18953,476.8840,1.3880,1.3936,1.3796
21796,634.2020,1.6251,1.6062,1.6436
25065,872.7730,1.9144,1.9595,1.9532
28825,1084.3560,2.2522,2.2568,2.2709
33149,1457.4720,2.7515,2.7989,2.7651
38121,1932.3900,3.2675,3.2930,3.1991

=== Destroy Time Comparison ===
n,no_shuffle,fisher_yates,randomize_inplace,permute_sort
10,0.0005,0.0005,0.0003,0.0005
11,0.0004,0.0003,0.0005,0.0002
13,0.0006,0.0002,0.0005,0.0004
15,0.0005,0.0004,0.0005,0.0007
17,0.0003,0.0004,0.0004,0.0004
20,0.0007,0.0002,0.0008,0.0006
23,0.0002,0.0006,0.0003,0.0005
26,0.0006,0.0005,0.0005,0.0005
30,0.0006,0.0007,0.0006,0.0004
35,0.0008,0.0005,0.0008,0.0008
40,0.0004,0.0009,0.0010,0.0008
46,0.0008,0.0010,0.0009,0.0010
53,0.0010,0.0009,0.0010,0.0011
61,0.0009,0.0010,0.0011,0.0012
70,0.0008,0.0013,0.0015,0.0013
81,0.0008,0.0015,0.0017,0.0017
93,0.0013,0.0018,0.0014,0.0017
107,0.0014,0.0017,0.0018,0.0020
123,0.0015,0.0021,0.0021,0.0022
142,0.0018,0.0025,0.0022,0.0023
163,0.0021,0.0027,0.0034,0.0030
188,0.0020,0.0031,0.0031,0.0031
216,0.0022,0.0035,0.0035,0.0037
248,0.0031,0.0042,0.0040,0.0042
286,0.0036,0.0048,0.0047,0.0055
329,0.0044,0.0055,0.0054,0.0055
378,0.0045,0.0062,0.0062,0.0061
435,0.0049,0.0080,0.0083,0.0078
500,0.0064,0.0075,0.0078,0.0081
575,0.0062,0.0096,0.0095,0.0098
662,0.0073,0.0113,0.0128,0.0111
761,0.0091,0.0154,0.0132,0.0132
875,0.0088,0.0153,0.0149,0.0149
1006,0.0110,0.0169,0.0172,0.0167
1158,0.0140,0.0203,0.0198,0.0201
1331,0.0160,0.0233,0.0230,0.0230
1531,0.0160,0.0254,0.0257,0.0272
1761,0.0210,0.0304,0.0296,0.0314
2025,0.0180,0.0351,0.0350,0.0345
2329,0.0250,0.0429,0.0400,0.0408
2678,0.0290,0.0466,0.0475,0.0464
3080,0.0310,0.0542,0.0554,0.0541
3542,0.0320,0.0635,0.0646,0.0640
4073,0.0410,0.0725,0.0740,0.0755
4684,0.0480,0.0888,0.0881,0.0898
5387,0.0680,0.1042,0.1052,0.1059
6195,0.0750,0.1272,0.1272,0.1268
7125,0.0790,0.1389,0.1455,0.1478
8194,0.0870,0.1706,0.1666,0.1715
9423,0.1020,0.1959,0.1976,0.2049
10836,0.1120,0.2270,0.2250,0.2252
12462,0.1310,0.2659,0.2694,0.2581
14331,0.1500,0.3116,0.3228,0.3120
16481,0.1680,0.4396,0.3654,0.3792
18953,0.1840,0.4276,0.4494,0.4311
21796,0.2350,0.4875,0.4853,0.5057
25065,0.2490,0.5537,0.5948,0.5691
28825,0.2870,0.6154,0.6268,0.6351
33149,0.3500,0.7680,0.8129,0.7945
38121,0.3830,0.9547,0.9330,0.8841

=== Inorder Walk Comparison ===
n,no_shuffle,fisher_yates,randomize_inplace,permute_sort
10,0.000012,0.000013,0.000011,0.000012
11,0.000014,0.000012,0.000011,0.000014
13,0.000020,0.000018,0.000015,0.000013
15,0.000021,0.000020,0.000023,0.000027
17,0.000028,0.000026,0.000021,0.000029
20,0.000034,0.000058,0.000028,0.000024
23,0.000028,0.000026,0.000028,0.000030
26,0.000037,0.000032,0.000034,0.000035
30,0.000039,0.000036,0.000037,0.000042
35,0.000049,0.000051,0.000045,0.000045
40,0.000053,0.000054,0.000053,0.000052
46,0.000067,0.000062,0.000058,0.000061
53,0.000060,0.000072,0.000073,0.000074
61,0.000067,0.000082,0.000083,0.000084
70,0.000078,0.000099,0.000103,0.000098
81,0.000092,0.000117,0.000119,0.000111
93,0.000101,0.000139,0.000133,0.000136
107,0.000118,0.000158,0.000156,0.000160
123,0.000129,0.000187,0.000165,0.000164
142,0.000152,0.000210,0.000198,0.000193
